"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
21,"1","2025-01-24T09:40:11.869547Z",21,"/data/upload/3/3726f338-img_620.jpg","truck",51.061,"2025-01-24T09:40:11.869547Z"
22,"1","2025-01-24T09:40:21.699275Z",22,"/data/upload/3/efb8adbb-img_621.jpg","not_truck",9.371,"2025-01-24T09:40:21.699275Z"
23,"1","2025-01-24T09:40:29.850276Z",23,"/data/upload/3/8f76d6b2-img_622.jpg","not_truck",7.804,"2025-01-24T09:40:29.850276Z"
24,"1","2025-01-24T09:40:35.434684Z",24,"/data/upload/3/b6a47702-img_623.jpg","not_truck",5.221,"2025-01-24T09:40:35.434684Z"
25,"1","2025-01-24T09:40:42.398779Z",25,"/data/upload/3/abe2a3e2-img_624.jpg","truck",6.602,"2025-01-24T09:40:42.398779Z"
26,"1","2025-01-24T09:40:51.311482Z",26,"/data/upload/3/c4848e75-img_625.jpg","not_truck",8.618,"2025-01-24T09:40:51.311482Z"
27,"1","2025-01-24T09:40:56.314340Z",27,"/data/upload/3/1868bb43-img_626.jpg","truck",4.722,"2025-01-24T09:40:56.314340Z"
28,"1","2025-01-24T09:41:01.897316Z",28,"/data/upload/3/d913f879-img_627.jpg","truck",5.261,"2025-01-24T09:41:01.897316Z"
29,"1","2025-01-24T09:41:09.374172Z",29,"/data/upload/3/1da96030-img_628.jpg","not_truck",7.182,"2025-01-24T09:41:09.374172Z"
30,"1","2025-01-24T09:41:14.629274Z",30,"/data/upload/3/1e74e516-img_629.jpg","not_truck",4.208,"2025-01-24T09:41:14.629274Z"
31,"1","2025-01-24T09:41:23.044821Z",31,"/data/upload/3/b94141cd-img_630.jpg","not_truck",8.103,"2025-01-24T09:41:23.044821Z"
32,"1","2025-01-24T09:41:30.828135Z",32,"/data/upload/3/ca36f720-img_631.jpg","not_truck",7.459,"2025-01-24T09:41:30.828135Z"
33,"1","2025-01-24T09:41:57.692024Z",33,"/data/upload/3/2aaf9135-img_632.jpg","not_truck",26.559,"2025-01-24T09:41:57.692024Z"
34,"1","2025-01-24T09:42:12.258621Z",34,"/data/upload/3/d9d055d5-img_633.jpg","truck",14.263,"2025-01-24T09:42:12.258621Z"
35,"1","2025-01-24T09:42:17.706968Z",35,"/data/upload/3/f38fa494-img_634.jpg","not_truck",5.149,"2025-01-24T09:42:17.706968Z"
36,"1","2025-01-24T09:42:23.356509Z",36,"/data/upload/3/6ebe7113-img_635.jpg","not_truck",5.348,"2025-01-24T09:42:23.356509Z"
37,"1","2025-01-24T09:42:29.922508Z",37,"/data/upload/3/c11af6d1-img_636.jpg","not_truck",6.279,"2025-01-24T09:42:29.922508Z"
38,"1","2025-01-24T09:42:33.872747Z",38,"/data/upload/3/b87e89fe-img_637.jpg","not_truck",3.649,"2025-01-24T09:42:33.872747Z"
39,"1","2025-01-24T09:42:37.070114Z",39,"/data/upload/3/8818dad1-img_638.jpg","truck",2.904,"2025-01-24T09:42:37.070114Z"
40,"1","2025-01-24T09:42:40.804812Z",40,"/data/upload/3/213f3ae7-img_639.jpg","not_truck",3.441,"2025-01-24T09:42:40.804812Z"
